"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-3600","JACKSON ST","BECKETT ST","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","25029000"
"09EXC-3600","JACKSON ST","WENTWORTH PL","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24779000"
"09EXC-3600","WENTWORTH PL","JACKSON ST","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24779000"
"09EXC-3600","WASHINGTON ST","WENTWORTH PL","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24780000"
"09EXC-3600","WENTWORTH PL","WASHINGTON ST","","Esquivel Grading & Paving, Inc.","Reconstruct Pavement","Street / Roadway:Sewer","2009-06-20 00:00:00","2009-09-17 00:00:00","APPROVED","24780000"
"09EXC-4702","SCOTT ST","GREENWICH ST","LOMBARD ST","San Francisco Water Department","Install New Service","Water Service","2009-08-11 00:00:00","2009-09-09 00:00:00","APPROVED","11714000"
"09EXC-4474","18TH ST","GUERRERO ST","OAKWOOD ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-27 00:00:00","2009-09-09 00:00:00","APPROVED","885000"
"09EXC-3957","BUSH ST","LYON ST","EUCLID AVE \ PRESIDIO AVE","Pacific Gas & Electric","Tie-In","Gas","2009-07-20 00:00:00","2009-09-02 00:00:00","APPROVED","3460000"
"09EXC-5051","VALENCIA ST","25TH ST","26TH ST","San Francisco Water Department","Install New Service","Water Service","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","13074000"
"09EXC-4560","CHURCH ST","17TH ST","DORLAND ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-30 00:00:00","2009-09-12 00:00:00","APPROVED","4014000"
"09EXC-4526","08TH AVE","GEARY BLVD","ANZA ST","Pacific Gas & Electric","Replace Service","Gas","2009-08-24 00:00:00","2009-10-07 00:00:00","APPROVED","390000"
"09EXC-4924","GAMBIER ST","FELTON ST","BURROWS ST","J. Flores Construction Co.","Replace Main","Sewer","2009-08-20 00:00:00","2009-09-02 00:00:00","APPROVED","5992000"
"09EXC-4380","BUSH ST","STEINER ST","PIERCE ST","Pacific Gas & Electric","Repair Leak","Gas","2009-07-23 00:00:00","2009-09-05 00:00:00","APPROVED","3454000"
"09EXC-5022","29TH AVE","TARAVAL ST","ULLOA ST","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-09-01 00:00:00","2009-10-30 00:00:00","APPROVED","1626000"
"09EXC-5200","POLK ST","UNION ST","","SBC - Pacific Bell Engineering","Repair Main","Telephone","2009-08-31 00:00:00","2009-09-29 00:00:00","APPROVED","25563000"
"09EXC-5200","UNION ST","POLK ST","","SBC - Pacific Bell Engineering","Repair Main","Telephone","2009-08-31 00:00:00","2009-09-29 00:00:00","APPROVED","25563000"
"09EXC-5188","PACIFIC AVE","SCOTT ST","DIVISADERO ST","San Francisco Water Department","Install New Service","Water Service","2009-08-28 00:00:00","2009-09-26 00:00:00","APPROVED","10158000"
"09EXC-4414","WEST PORTAL AVE","ULLOA ST","VICENTE ST","Clear Channel Outdoor","Install Newsrack","NewsRack","2009-08-15 00:00:00","2009-09-13 00:00:00","APPROVED","13577201"
"09EXC-5065","GEARY BLVD","SPRUCE ST","PARKER AVE","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-26 00:00:00","2009-09-04 00:00:00","APPROVED","6051101"
"09EXC-5041","LOMBARD ST","TAYLOR ST","JONES ST","San Francisco Water Department","Install New Fire Service","Water Service","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","8446000"
"09EXC-5039","MOSCOW ST","PERSIA AVE","","Bureau of Urban Forestry","Install New Curb Ramp","Curb Ramp","2009-08-24 00:00:00","2009-09-23 00:00:00","APPROVED","21628000"
"09EXC-5039","PERSIA AVE","MOSCOW ST","","Bureau of Urban Forestry","Install New Curb Ramp","Curb Ramp","2009-08-24 00:00:00","2009-09-23 00:00:00","APPROVED","21628000"
"09EXC-5158","FRANCISCO ST","GRANT AVE","MIDWAY ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-25 00:00:00","2009-10-08 00:00:00","APPROVED","5756000"
"09EXC-3524","PRENTISS ST","END","CHAPMAN ST","Pacific Gas & Electric","Install New Service","Gas","2009-08-24 00:00:00","2009-10-07 00:00:00","APPROVED","10752000"
"09EXC-2016","MCALLISTER ST","LARKIN ST","DR CARLTON B GOODLETT PL \ POLK ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8893000"
"09EXC-2016","MCALLISTER ST","BREEN PL","LARKIN ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8892000"
"09EXC-2016","BREEN PL","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","30055000"
"09EXC-2016","MCALLISTER ST","BREEN PL","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","30055000"
"09EXC-2016","MCALLISTER ST","HYDE ST","BREEN PL","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8891000"
"09EXC-2016","MCALLISTER ST","LEAVENWORTH ST","HYDE ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8890000"
"09EXC-2016","MCALLISTER ST","CHARLES J BRENHAM PL","LEAVENWORTH ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8889000"
"09EXC-2016","MCALLISTER ST","JONES ST","CHARLES J BRENHAM PL","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","8888000"
"09EXC-2016","CHARLES J BRENHAM PL","07TH ST \ MARKET ST","MCALLISTER ST","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","3899000"
